standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide
O=C(c1cccc(F)c1)N1CCN(c2ncnc3c2c(-c2ccccc2)cn3-c2ccc(F)cc2)CC1,1.314294344937669,HIT104570777,O=C(c1cccc(F)c1)N1CCN(c2ncnc3c2c(-c2ccccc2)cn3-c2ccc(F)cc2)CC1,-9.0,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:12453,O=C(c1cccc(F)c1)N1CCN(c2ncnc3c2c(-c2ccccc2)cn3-c2ccc(F)cc2)CC1,-6.15447
COc1ccccc1C(=O)N(CCc1csc2nc(-c3ccc4ccccc4c3)cn12)Cc1ccccc1,2.335912747390418,HIT105045419,COc1ccccc1C(=O)N(CCc1csc2nc(-c3ccc4ccccc4c3)cn12)Cc1ccccc1,-9.0,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:35473,COc1ccccc1C(=O)N(CCc1csc2nc(-c3ccc4ccccc4c3)cn12)Cc1ccccc1,-5.89244
Cc1cccc(-c2nnc3c4ccccc4nc(N4CCN(C(=O)Nc5ccccc5)C(C)C4)n23)c1,1.9552890094703528,HIT105568949,Cc1cccc(-c2nnc3c4ccccc4nc(N4CCN(C(=O)Nc5ccccc5)C(C)C4)n23)c1,-9.0,ligprep_chemdiv-stock1_04_414266_split-10_1.sdf:241,Cc1cccc(-c2nnc3c4ccccc4nc(N4CCN(C(=O)Nc5ccccc5)[C@@H](C)C4)n23)c1,-5.94786
O=C(Nc1ccc2c(c1)OCCO2)N1CCOc2ccc(C(=O)N3CCOCC3)cc2C1,1.1659668207918692,HIT105992180,O=C(Nc1ccc2c(c1)OCCO2)N1CCOc2ccc(C(=O)N3CCOCC3)cc2C1,-9.0,ligprep_chemdiv-stock1_03_400000_split-10_6.sdf:2791,O=C(Nc1ccc2c(c1)OCCO2)N1CCOc2ccc(C(=O)N3CCOCC3)cc2C1,-6.2291
O=C(Nc1ccc2c(c1)OCCO2)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1ccc(F)cc1,2.234057683572519,HIT107009281,O=C(Nc1ccc2c(c1)OCCO2)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1ccc(F)cc1,-9.0,ligprep_chemdiv-stock1_02_400000_split-10_3.sdf:22116,O=C(Nc1ccc2c(c1)OCCO2)N1CCc2c([nH]c3ccc(Cl)cc23)[C@@H]1c1ccc(F)cc1,-6.0739
Cc1ccc(C2=CC(c3c(F)cccc3Cl)n3c(nc4ccccc43)N2)cc1C,1.2986657420811467,HIT107078360,Cc1ccc(C2=CC(c3c(F)cccc3Cl)n3c(nc4ccccc43)N2)cc1C,-9.0,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:25008,Cc1ccc(C2=C[C@@H](c3c(F)cccc3Cl)n3c(nc4ccccc43)N2)cc1C,-6.71087
COc1cc(C2c3sc(=O)[nH]c3SC3C4CC(C5C(=O)N(c6ccc(C)cc6)C(=O)C45)C23)ccc1O,1.2840621201224385,HIT107355137,COc1cc(C2c3sc(=O)[nH]c3SC3C4CC(C5C(=O)N(c6ccc(C)cc6)C(=O)C45)C23)ccc1O,-9.0,ligprep_chemdiv-stock1_02_400000_split-10_9.sdf:17178,COc1cc([C@H]2c3sc(=O)[nH]c3S[C@H]3[C@@H]4C[C@@H]([C@H]5C(=O)N(c6ccc(C)cc6)C(=O)[C@@H]45)[C@@H]23)ccc1O,-6.21982
CC(=O)c1ccc(N2CCN(c3ncnc4c3c(-c3ccccc3)cn4-c3cccc(C)c3)CC2)cc1,1.46927096336373,HIT107382619,CC(=O)c1ccc(N2CCN(c3ncnc4c3c(-c3ccccc3)cn4-c3cccc(C)c3)CC2)cc1,-9.0,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:38680,CC(=O)c1ccc(N2CCN(c3ncnc4c3c(-c3ccccc3)cn4-c3cccc(C)c3)CC2)cc1,-6.10499
Cc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3cc4c(cc3C)NC(=O)C(C)O4)C2)cc1C,2.171509079447104,HIT211468181,Cc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3cc4c(cc3C)NC(=O)C(C)O4)C2)cc1C,-9.0,ligprep_chemdiv-stock1_02_400000_split-10_4.sdf:15009,Cc1ccc(NC(=O)[C@@H]2CCCN(S(=O)(=O)c3cc4c(cc3C)NC(=O)[C@@H](C)O4)C2)cc1C,-6.23446
CCOC(=O)N1CCN(C(=O)c2ccc3c(c2)N(Cc2ccccc2F)C(=O)c2ccccc2S3(=O)=O)CC1,1.4828266826467722,HIT211685694,CCOC(=O)N1CCN(C(=O)c2ccc3c(c2)N(Cc2ccccc2F)C(=O)c2ccccc2S3(=O)=O)CC1,-9.0,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:16880,CCOC(=O)N1CCN(C(=O)c2ccc3c(c2)N(Cc2ccccc2F)C(=O)c2ccccc2S3(=O)=O)CC1,-6.00813
